DateTime,Date,TimeStamp,Junction,Vehicles,ID,Category,Event Name,Venue/Location,Rain,Temp Max,Temp Min
01/11/15 0:00,2015-11-01,00:00:00,1,15,20151101001,No Category,No Event,No Venue/Location,0,28.60291672,20.63870049
01/11/15 1:00,2015-11-01,01:00:00,1,13,20151101011,No Category,No Event,No Venue/Location,0,28.60291672,20.63870049
01/11/15 2:00,2015-11-01,02:00:00,1,10,20151101021,No Category,No Event,No Venue/Location,0,28.60291672,20.63870049
01/11/15 3:00,2015-11-01,03:00:00,1,7,20151101031,No Category,No Event,No Venue/Location,0,28.60291672,20.63870049
01/11/15 4:00,2015-11-01,04:00:00,1,9,20151101041,No Category,No Event,No Venue/Location,0,28.60291672,20.63870049
01/11/15 5:00,2015-11-01,05:00:00,1,6,20151101051,No Category,No Event,No Venue/Location,0,28.60291672,20.63870049
01/11/15 6:00,2015-11-01,06:00:00,1,9,20151101061,No Category,No Event,No Venue/Location,0,28.60291672,20.63870049
01/11/15 7:00,2015-11-01,07:00:00,1,8,20151101071,No Category,No Event,No Venue/Location,0,28.60291672,20.63870049
01/11/15 8:00,2015-11-01,08:00:00,1,11,20151101081,No Category,No Event,No Venue/Location,0,28.60291672,20.63870049
01/11/15 9:00,2015-11-01,09:00:00,1,12,20151101091,No Category,No Event,No Venue/Location,0,28.60291672,20.63870049
01/11/15 10:00,2015-11-01,10:00:00,1,15,20151101101,No Category,No Event,No Venue/Location,0,28.60291672,20.63870049
01/11/15 11:00,2015-11-01,11:00:00,1,17,20151101111,No Category,No Event,No Venue/Location,0,28.60291672,20.63870049
01/11/15 12:00,2015-11-01,12:00:00,1,16,20151101121,No Category,No Event,No Venue/Location,0,28.60291672,20.63870049
01/11/15 13:00,2015-11-01,13:00:00,1,15,20151101131,No Category,No Event,No Venue/Location,0,28.60291672,20.63870049
01/11/15 14:00,2015-11-01,14:00:00,1,16,20151101141,No Category,No Event,No Venue/Location,0,28.60291672,20.63870049
01/11/15 15:00,2015-11-01,15:00:00,1,12,20151101151,No Category,No Event,No Venue/Location,0,28.60291672,20.63870049
01/11/15 16:00,2015-11-01,16:00:00,1,12,20151101161,No Category,No Event,No Venue/Location,0,28.60291672,20.63870049
01/11/15 17:00,2015-11-01,17:00:00,1,16,20151101171,No Category,No Event,No Venue/Location,0,28.60291672,20.63870049
01/11/15 18:00,2015-11-01,18:00:00,1,17,20151101181,No Category,No Event,No Venue/Location,0,28.60291672,20.63870049
01/11/15 19:00,2015-11-01,19:00:00,1,20,20151101191,No Category,No Event,No Venue/Location,0,28.60291672,20.63870049
01/11/15 20:00,2015-11-01,20:00:00,1,17,20151101201,No Category,No Event,No Venue/Location,0,28.60291672,20.63870049
01/11/15 21:00,2015-11-01,21:00:00,1,19,20151101211,No Category,No Event,No Venue/Location,0,28.60291672,20.63870049
01/11/15 22:00,2015-11-01,22:00:00,1,20,20151101221,No Category,No Event,No Venue/Location,0,28.60291672,20.63870049
01/11/15 23:00,2015-11-01,23:00:00,1,15,20151101231,No Category,No Event,No Venue/Location,0,28.60291672,20.63870049
02/11/15 0:00,2015-11-02,00:00:00,1,14,20151102001,No Category,No Event,No Venue/Location,42.67019653,28.60640144,20.24723053
02/11/15 1:00,2015-11-02,01:00:00,1,12,20151102011,No Category,No Event,No Venue/Location,42.67019653,28.60640144,20.24723053
02/11/15 2:00,2015-11-02,02:00:00,1,14,20151102021,No Category,No Event,No Venue/Location,42.67019653,28.60640144,20.24723053
02/11/15 3:00,2015-11-02,03:00:00,1,12,20151102031,No Category,No Event,No Venue/Location,42.67019653,28.60640144,20.24723053
02/11/15 4:00,2015-11-02,04:00:00,1,12,20151102041,No Category,No Event,No Venue/Location,42.67019653,28.60640144,20.24723053
02/11/15 5:00,2015-11-02,05:00:00,1,11,20151102051,No Category,No Event,No Venue/Location,42.67019653,28.60640144,20.24723053
02/11/15 6:00,2015-11-02,06:00:00,1,13,20151102061,No Category,No Event,No Venue/Location,42.67019653,28.60640144,20.24723053
02/11/15 7:00,2015-11-02,07:00:00,1,14,20151102071,No Category,No Event,No Venue/Location,42.67019653,28.60640144,20.24723053
02/11/15 8:00,2015-11-02,08:00:00,1,12,20151102081,No Category,No Event,No Venue/Location,42.67019653,28.60640144,20.24723053
02/11/15 9:00,2015-11-02,09:00:00,1,22,20151102091,No Category,No Event,No Venue/Location,42.67019653,28.60640144,20.24723053
02/11/15 10:00,2015-11-02,10:00:00,1,32,20151102101,No Category,No Event,No Venue/Location,42.67019653,28.60640144,20.24723053
02/11/15 11:00,2015-11-02,11:00:00,1,31,20151102111,No Category,No Event,No Venue/Location,42.67019653,28.60640144,20.24723053
02/11/15 12:00,2015-11-02,12:00:00,1,35,20151102121,No Category,No Event,No Venue/Location,42.67019653,28.60640144,20.24723053
02/11/15 13:00,2015-11-02,13:00:00,1,26,20151102131,No Category,No Event,No Venue/Location,42.67019653,28.60640144,20.24723053
02/11/15 14:00,2015-11-02,14:00:00,1,34,20151102141,No Category,No Event,No Venue/Location,42.67019653,28.60640144,20.24723053
02/11/15 15:00,2015-11-02,15:00:00,1,30,20151102151,No Category,No Event,No Venue/Location,42.67019653,28.60640144,20.24723053
02/11/15 16:00,2015-11-02,16:00:00,1,27,20151102161,No Category,No Event,No Venue/Location,42.67019653,28.60640144,20.24723053
02/11/15 17:00,2015-11-02,17:00:00,1,27,20151102171,No Category,No Event,No Venue/Location,42.67019653,28.60640144,20.24723053
02/11/15 18:00,2015-11-02,18:00:00,1,24,20151102181,No Category,No Event,No Venue/Location,42.67019653,28.60640144,20.24723053
02/11/15 19:00,2015-11-02,19:00:00,1,26,20151102191,No Category,No Event,No Venue/Location,42.67019653,28.60640144,20.24723053
02/11/15 20:00,2015-11-02,20:00:00,1,29,20151102201,No Category,No Event,No Venue/Location,42.67019653,28.60640144,20.24723053
02/11/15 21:00,2015-11-02,21:00:00,1,32,20151102211,No Category,No Event,No Venue/Location,42.67019653,28.60640144,20.24723053
02/11/15 22:00,2015-11-02,22:00:00,1,30,20151102221,No Category,No Event,No Venue/Location,42.67019653,28.60640144,20.24723053
02/11/15 23:00,2015-11-02,23:00:00,1,27,20151102231,No Category,No Event,No Venue/Location,42.67019653,28.60640144,20.24723053
03/11/15 0:00,2015-11-03,00:00:00,1,21,20151103001,No Category,No Event,No Venue/Location,12.5722723,28.56494141,20.52832794
03/11/15 1:00,2015-11-03,01:00:00,1,18,20151103011,No Category,No Event,No Venue/Location,12.5722723,28.56494141,20.52832794
03/11/15 2:00,2015-11-03,02:00:00,1,19,20151103021,No Category,No Event,No Venue/Location,12.5722723,28.56494141,20.52832794
03/11/15 3:00,2015-11-03,03:00:00,1,13,20151103031,No Category,No Event,No Venue/Location,12.5722723,28.56494141,20.52832794
03/11/15 4:00,2015-11-03,04:00:00,1,11,20151103041,No Category,No Event,No Venue/Location,12.5722723,28.56494141,20.52832794
03/11/15 5:00,2015-11-03,05:00:00,1,11,20151103051,No Category,No Event,No Venue/Location,12.5722723,28.56494141,20.52832794
03/11/15 6:00,2015-11-03,06:00:00,1,11,20151103061,No Category,No Event,No Venue/Location,12.5722723,28.56494141,20.52832794
03/11/15 7:00,2015-11-03,07:00:00,1,14,20151103071,No Category,No Event,No Venue/Location,12.5722723,28.56494141,20.52832794
03/11/15 8:00,2015-11-03,08:00:00,1,15,20151103081,No Category,No Event,No Venue/Location,12.5722723,28.56494141,20.52832794
03/11/15 9:00,2015-11-03,09:00:00,1,29,20151103091,No Category,No Event,No Venue/Location,12.5722723,28.56494141,20.52832794
03/11/15 10:00,2015-11-03,10:00:00,1,33,20151103101,No Category,No Event,No Venue/Location,12.5722723,28.56494141,20.52832794
03/11/15 11:00,2015-11-03,11:00:00,1,32,20151103111,No Category,No Event,No Venue/Location,12.5722723,28.56494141,20.52832794
03/11/15 12:00,2015-11-03,12:00:00,1,32,20151103121,No Category,No Event,No Venue/Location,12.5722723,28.56494141,20.52832794
03/11/15 13:00,2015-11-03,13:00:00,1,29,20151103131,No Category,No Event,No Venue/Location,12.5722723,28.56494141,20.52832794
03/11/15 14:00,2015-11-03,14:00:00,1,27,20151103141,No Category,No Event,No Venue/Location,12.5722723,28.56494141,20.52832794
03/11/15 15:00,2015-11-03,15:00:00,1,26,20151103151,No Category,No Event,No Venue/Location,12.5722723,28.56494141,20.52832794
03/11/15 16:00,2015-11-03,16:00:00,1,28,20151103161,No Category,No Event,No Venue/Location,12.5722723,28.56494141,20.52832794
03/11/15 17:00,2015-11-03,17:00:00,1,26,20151103171,No Category,No Event,No Venue/Location,12.5722723,28.56494141,20.52832794
03/11/15 18:00,2015-11-03,18:00:00,1,25,20151103181,No Category,No Event,No Venue/Location,12.5722723,28.56494141,20.52832794
03/11/15 19:00,2015-11-03,19:00:00,1,29,20151103191,No Category,No Event,No Venue/Location,12.5722723,28.56494141,20.52832794
03/11/15 20:00,2015-11-03,20:00:00,1,26,20151103201,No Category,No Event,No Venue/Location,12.5722723,28.56494141,20.52832794
03/11/15 21:00,2015-11-03,21:00:00,1,24,20151103211,No Category,No Event,No Venue/Location,12.5722723,28.56494141,20.52832794
03/11/15 22:00,2015-11-03,22:00:00,1,25,20151103221,No Category,No Event,No Venue/Location,12.5722723,28.56494141,20.52832794
03/11/15 23:00,2015-11-03,23:00:00,1,20,20151103231,No Category,No Event,No Venue/Location,12.5722723,28.56494141,20.52832794
04/11/15 0:00,2015-11-04,00:00:00,1,18,20151104001,No Category,No Event,No Venue/Location,9.07570076,29.41076469,20.48929787
04/11/15 1:00,2015-11-04,01:00:00,1,18,20151104011,No Category,No Event,No Venue/Location,9.07570076,29.41076469,20.48929787
04/11/15 2:00,2015-11-04,02:00:00,1,13,20151104021,No Category,No Event,No Venue/Location,9.07570076,29.41076469,20.48929787
04/11/15 3:00,2015-11-04,03:00:00,1,13,20151104031,No Category,No Event,No Venue/Location,9.07570076,29.41076469,20.48929787
04/11/15 4:00,2015-11-04,04:00:00,1,10,20151104041,No Category,No Event,No Venue/Location,9.07570076,29.41076469,20.48929787
04/11/15 5:00,2015-11-04,05:00:00,1,12,20151104051,No Category,No Event,No Venue/Location,9.07570076,29.41076469,20.48929787
04/11/15 6:00,2015-11-04,06:00:00,1,13,20151104061,No Category,No Event,No Venue/Location,9.07570076,29.41076469,20.48929787
04/11/15 7:00,2015-11-04,07:00:00,1,11,20151104071,No Category,No Event,No Venue/Location,9.07570076,29.41076469,20.48929787
04/11/15 8:00,2015-11-04,08:00:00,1,13,20151104081,No Category,No Event,No Venue/Location,9.07570076,29.41076469,20.48929787
04/11/15 9:00,2015-11-04,09:00:00,1,22,20151104091,No Category,No Event,No Venue/Location,9.07570076,29.41076469,20.48929787
04/11/15 10:00,2015-11-04,10:00:00,1,26,20151104101,No Category,No Event,No Venue/Location,9.07570076,29.41076469,20.48929787
04/11/15 11:00,2015-11-04,11:00:00,1,27,20151104111,No Category,No Event,No Venue/Location,9.07570076,29.41076469,20.48929787
04/11/15 12:00,2015-11-04,12:00:00,1,31,20151104121,No Category,No Event,No Venue/Location,9.07570076,29.41076469,20.48929787
04/11/15 13:00,2015-11-04,13:00:00,1,24,20151104131,No Category,No Event,No Venue/Location,9.07570076,29.41076469,20.48929787
04/11/15 14:00,2015-11-04,14:00:00,1,23,20151104141,No Category,No Event,No Venue/Location,9.07570076,29.41076469,20.48929787
04/11/15 15:00,2015-11-04,15:00:00,1,26,20151104151,No Category,No Event,No Venue/Location,9.07570076,29.41076469,20.48929787
04/11/15 16:00,2015-11-04,16:00:00,1,26,20151104161,No Category,No Event,No Venue/Location,9.07570076,29.41076469,20.48929787
04/11/15 17:00,2015-11-04,17:00:00,1,24,20151104171,No Category,No Event,No Venue/Location,9.07570076,29.41076469,20.48929787
04/11/15 18:00,2015-11-04,18:00:00,1,23,20151104181,No Category,No Event,No Venue/Location,9.07570076,29.41076469,20.48929787
04/11/15 19:00,2015-11-04,19:00:00,1,25,20151104191,No Category,No Event,No Venue/Location,9.07570076,29.41076469,20.48929787
04/11/15 20:00,2015-11-04,20:00:00,1,26,20151104201,No Category,No Event,No Venue/Location,9.07570076,29.41076469,20.48929787
04/11/15 21:00,2015-11-04,21:00:00,1,24,20151104211,No Category,No Event,No Venue/Location,9.07570076,29.41076469,20.48929787
