_id,Date,Rain,Temp Max,Temp Min
1,01-01-1951,0,26.96999931,15.64999962
2,02-01-1951,0,26.18000031,14.68999958
3,03-01-1951,0,26.30999947,14.94999981
4,04-01-1951,0,26.72999954,14.84000015
5,05-01-1951,0,26.93000031,14.52999973
6,06-01-1951,0,26.25,13.48999977
7,07-01-1951,0,26.45000076,12.69999981
8,08-01-1951,0,25.69000053,15.81000042
9,09-01-1951,0,25.88999939,15.27999973
10,10-01-1951,0,26.62000084,15.27000046
11,11-01-1951,0,27.04999924,15.14999962
12,12-01-1951,0,27.77000046,14.77000046
13,13-01-1951,0,28.21999931,15.93999958
14,14-01-1951,0,27.87000084,16.62000084
15,15-01-1951,0,27.90999985,16.47999954
16,16-01-1951,0,26.79000092,18.37000084
17,17-01-1951,0,27.85000038,18.07999992
18,18-01-1951,0,28,17.28000069
19,19-01-1951,0,27.70000076,16.63999939
20,20-01-1951,0,29.32999992,17.32999992
21,21-01-1951,0,28.94000053,17.20999908
22,22-01-1951,0,28.45000076,17.03000069
23,23-01-1951,0,27.59000015,17.06999969
24,24-01-1951,0,26.96999931,17.05999947
25,25-01-1951,0,28.32999992,16.64999962
26,26-01-1951,0,28.28000069,16.38999939
27,27-01-1951,0,27.87000084,13.73999977
28,28-01-1951,0,27.79000092,13.53999996
29,29-01-1951,0,27.97999954,14.47999954
30,30-01-1951,0,28.18000031,13.96000004
31,31-01-1951,0,28.38999939,14.39000034
32,01-02-1951,0,28.40999985,15.10000038
33,02-02-1951,0,28.78000069,15.55000019
34,03-02-1951,0,30.10000038,15.96000004
35,04-02-1951,0,29.44000053,16.44000053
36,05-02-1951,0,28.89999962,16.12999916
37,06-02-1951,0,28.84000015,16.04999924
38,07-02-1951,0,29.77000046,16.81999969
39,08-02-1951,0,28.82999992,17.05999947
40,09-02-1951,0,27.96999931,17.27000046
41,10-02-1951,0,28.26000023,17.25
42,11-02-1951,0,29.47999954,17.86000061
43,12-02-1951,0,30,18
44,13-02-1951,0,31.02000046,16.52000046
45,14-02-1951,0,31.17000008,16.47999954
46,15-02-1951,0,29.79000092,16.03000069
47,16-02-1951,0,31.09000015,15.92000008
48,17-02-1951,0,30.62999916,17.13999939
49,18-02-1951,0,30.48999977,16.29000092
50,19-02-1951,0,30,15.02000046
51,20-02-1951,0,31.70999908,15.73999977
52,21-02-1951,0,31.56999969,16.90999985
53,22-02-1951,0,31.37999916,14.97000027
54,23-02-1951,0,30.90999985,15.06000042
